GLOBAL UNIQUE IDENTIFIER,COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,LOCALITY ID,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER NAME,OBSERVATION TYPE,DURATION MINUTES,NUMBER OBSERVERS,ALL SPECIES REPORTED,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS155113421,Black-crowned Night Heron,Nycticorax nycticorax,X,L1210588,1985-01-16,,obsr197741,,Incidental,,,0,
URN:CornellLabOfOrnithology:EBIRD:OBS155113420,Fox Sparrow,Passerella iliaca,X,L1210588,1985-01-16,,obsr197741,,Incidental,,,0,
URN:CornellLabOfOrnithology:EBIRD:OBS155113422,Yellow-crowned Night Heron,Nyctanassa violacea,X,L1210588,1985-01-16,,obsr197741,,Incidental,,,0,
URN:CornellLabOfOrnithology:EBIRD:OBS350136143,American Crow,Corvus brachyrhynchos,2,L1210588,2000-01-06,9:00:00 AM,obsr523751,,Traveling,45,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS350136146,Bewick's Wren,Thryomanes bewickii,1,L1210588,2000-01-06,9:00:00 AM,obsr523751,,Traveling,45,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS350136145,Black Phoebe,Sayornis nigricans,1,L1210588,2000-01-06,9:00:00 AM,obsr523751,,Traveling,45,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS350136141,Golden-fronted Woodpecker,Melanerpes aurifrons,1,L1210588,2000-01-06,9:00:00 AM,obsr523751,,Traveling,45,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS350136151,Grasshopper Sparrow,Ammodramus savannarum,3,L1210588,2000-01-06,9:00:00 AM,obsr523751,,Traveling,45,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS350136147,House Sparrow,Passer domesticus,4,L1210588,2000-01-06,9:00:00 AM,obsr523751,,Traveling,45,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS350136142,Mourning Dove,Zenaida macroura,2,L1210588,2000-01-06,9:00:00 AM,obsr523751,,Traveling,45,1,1,
