OBSERVATIONDATETIME,LOCATION,WEDGE,CATEGORY,COMMONNAME,SCIENTIFICNAME,STATUS,NOTES,,
2023-01-20,Garden,1,Plant,Frogfruit,Phyla nodiflora,Winter mode,,,
2023-01-20,Garden,1,Plant,Calyophus,Oenothera calylophus,Winter mode - slight greening,,,
2023-01-20,Garden,1,Plant,Chile pequin,Capsicum annuum var. glabriusculum,Winter mode,,,
2023-01-20,Garden,2,Plant,Silver ponyfoot,Dichondra argentea,Winter mode - slight greening,,,
2023-01-20,Garden,2,Plant,Mealy blue sage,Salvia farinacea,Winter mode - slight greening,,,
2023-01-20,Garden,2,Plant,Esperanza,Tecoma stans,Winter mode - slight greening,,,
2023-01-20,Garden,3,Plant,Gregg dalea,Dalea greggii,Winter mode - slight greening,,,
2023-01-20,Garden,3,Plant,Damianita,Chrysactinia mexicana,Winter mode - slight greening,,,
2023-01-20,Garden,3,Plant,Tropical sage,Salvia coccinea,Winter mode,,,
2023-01-20,Garden,4,Plant,Lyreleaf sage,Salvia lyrata,Winter mode - slight greening,,,
2023-01-20,Garden,4,Plant,Standing winecup,Callirhoe pedata,Winter mode - slight greening,,,
2023-01-20,Garden,4,Plant,Blue mistflower,Conoclinium coelestinum,Winter mode - slight greening,,,
2023-01-20,Garden,5,Plant,Prairie verbena,Glandularia bipinnatifida,Winter mode,,,
2023-01-20,Garden,5,Plant,Autumn sage,Salvia greggii,Winter mode - slight greening on 2 of 3,,,
2023-01-20,Garden,5,Plant,Apache plume,Fallugia paradoxa,Winter mode - slight greening,,,
2023-01-20,Garden,6,Plant,Frogfruit,Phyla nodiflora,Winter mode,,,
2023-01-20,Garden,6,Plant,Lindheimer muhly,Muhlenbergia lindheimeri,Winter mode - slight greening,,,
2023-01-20,Garden,6,Plant,American beautyberry,Callicarpa americana,Winter mode,,,
2023-01-20,Garden,7,Plant,Snakeherb,Dyschoriste linearis,Winter mode - slight greening,,,
2023-01-20,Garden,7,Plant,Pink guara,Oenothera lindheimeri,Winter mode,,,
2023-01-20,Garden,7,Plant,White mistflower,Ageratina havanensis,Winter mode - slight greening,,,
2023-01-20,Garden,8,Plant,Gregg dalea,Dalea greggii,Winter mode - slight greening,,,
2023-01-20,Garden,8,Plant,Zexmenia,Wedelia texana,Winter mode,,,
