DATE	COMMON NAME	SCIENTIFIC NAME	COUNT
7/10/2025	Black Swallowtail	Papilio polyxenes	1
7/10/2025	Bordered Patch	Chlosyne lacinia	5
7/10/2025	Ceraunus Blue	Hemiargus ceraunus	7
7/10/2025	Clouded Skipper	Lerema accius	1
7/10/2025	Com/White Checkered-Skipper	Burnsius communis/albescens	30
7/10/2025	Common Buckeye	Junonia coenia	3
7/10/2025	Fatal Metalmark	Calephelis nemesis	1
7/10/2025	Fiery Skipper	Hylephila phyleus	7
7/10/2025	Gray Hairstreak	Strymon melinus	2
7/10/2025	Gulf Fritillary	Agraulis vanillae	8
7/10/2025	Hackberry Emperor	Asterocampa celtis	2
7/10/2025	Little Yellow	Pyrisitia lisa	1
7/10/2025	Long-tailed skipper	Urbanus proteus	1
7/10/2025	Northern Cloudywing	Thorybes pylades	1
7/10/2025	Orange Skipperling	Copaeodes aurantiaca	1
7/10/2025	Phaon Crescent	Phyciodes phaon	2
7/10/2025	Queen	Danaus gilippus	8
7/10/2025	Reakirt's Blue	Echinargus isola	8
7/10/2025	Sachem	Atalopedes campestris	1
7/10/2025	Southern Broken-Dash	Wallengrenia otho	1
7/10/2025	Southern Skipperling	Copaeodes minima	1
7/10/2025	Texan Crescent	Anthanassa texana	1
7/10/2025	Theona Checkerspot	Chlosyne theona	1
7/10/2025	Vesta Crescent	Phyciodes vesta	2
7/10/2025	Western Pygmy-Blue	Brephidium exilis	7
7/10/2025	White-striped Longtail	Chioides albofasciatus	50
10/15/2025	Ceraunus Blue	Hemiargus ceraunus	50
10/15/2025	Clouded Skipper	Lerema accius	1
10/15/2025	Com/White Checkered-Skipper	Burnsius communis/albescens	6
10/15/2025	Common Buckeye	Junonia coenia	1
10/15/2025	Dun Skipper	Euphyes vestris	1
10/15/2025	Eufala Skipper	Lerodea eufala	1
10/15/2025	Fatal Metalmark	Calephelis nemesis	9
10/15/2025	Fiery Skipper	Hylephila phyleus	5
10/15/2025	Gray Hairstreak	Strymon melinus	2
10/15/2025	Gulf Fritillary	Agraulis vanillae	15
10/15/2025	Hackberry Emperor	Asterocampa celtis	2
10/15/2025	Little Yellow	Pyrisitia lisa	4
10/15/2025	Pipevine Swallowtail	Battus philenor	2
10/15/2025	Queen	Danaus gilippus	1
10/15/2025	Sachem	Atalopedes campestris	1
10/15/2025	Tawny Emperor	Asterocampa clyton	3
10/15/2025	Variegated Fritillary	Euptoieta claudia	2
10/15/2025	Western Pygmy-Blue	Brephidium exilis	2
10/15/2025	White-striped Longtail	Chioides albofasciatus	50
6/10/2026	American Lady	Vanessa virginiensis	1
6/10/2026	American Snout	Libytheana carinenta	1
6/10/2026	Bordered Patch	Chlosyne lacinia	11
6/10/2026	Cassius Blue	Leptotes cassius	4
6/10/2026	Ceraunus Blue	Hemiargus ceraunus	5
6/10/2026	Checkered White	Pontia protodice	4
6/10/2026	Clouded Skipper	Lerema accius	1
6/10/2026	Com/White Checkered-Skipper	Burnsius communis/albescens	22
6/10/2026	Common Buckeye	Junonia coenia	3
6/10/2026	Common Sootywing	Pholisora catullus	2
6/10/2026	Dainty Sulphur	Nathalis iole	2
6/10/2026	Eastern Tiger Swallowtail	Papilio glaucus	1
6/10/2026	Elada Checkerspot	Microtia elada	2
6/10/2026	Fiery Skipper	Hylephila phyleus	4
6/10/2026	Gray Hairstreak	Strymon melinus	25
6/10/2026	Gulf Fritillary	Agraulis vanillae	23
6/10/2026	Hackberry Emperor	Asterocampa celtis	2
6/10/2026	Little Yellow	Pyrisitia lisa	2
6/10/2026	Mallow Scrub-Hairstreak	Strymon istapa	2
6/10/2026	Marine Blue	Leptotes marina	2
6/10/2026	Phaon Crescent	Phyciodes phaon	6
6/10/2026	Pipevine Swallowtail	Battus philenor	2
6/10/2026	Queen	Danaus gilippus	2
6/10/2026	Question Mark	Polygonia interrogationis	2
6/10/2026	Reakirt's Blue	Echinargus isola	1
6/10/2026	Red Admiral	Vanessa atalanta	1
6/10/2026	Skipper sp.	Hesperiidae	1
6/10/2026	Texan Crescent	Anthanassa texana	2
6/10/2026	Variegated Fritillary	Euptoieta claudia	3
6/10/2026	Western Pygmy-Blue	Brephidium exilis	1
6/10/2026	White-striped Longtail	Chioides albofasciatus	5
